Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Context,Questionnaire,QuestionnaireField,Notes/Questions
1-001,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,Local File No.,BFDR,Extension-live-birth-local-file-number,Extension-live-birth-local-file-number,,Composition-provider-live-birth-report.extension,,,
1-002,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,Birth Number,BFDR,Extension-live-birth-certificate-number,Extension-live-birth-certificate-number,,Composition-provider-live-birth-report.extension,,,
1-003,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,1. Child’s Name,VRCPL,Patient-child-vr,Patient-child-vr,name,,,,
1-004,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,2. Child's Time of Birth,FHIR,Patient-child-vr,patient-birthTime,,Patient-child-vr.extension,,,
1-005,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,3. Child's Sex,US CORE,Patient-child-vr,us-core-birthsex,,Patient-child-vr.extension,,,
1-006,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,4. Child's Date Of Birth,VRCPL,Patient-child-vr,Patient-child-vr,birthDate,,,,
1-007,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,5. Facility Name / Address,US CORE,Encounter-birth,us-core-location,location.location,Encounter-birth.location.location,,,
1-008,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"6. City, Town, Or Location Of Birth",FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension,,,
1-009,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,7. County Of Birth,FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension,,,
1-010,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8a. Mother’s Current Legal Name,VRCPL,Patient-mother-vr,Patient-mother-vr,name:currentLegalName,,,,
1-011,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8b. Mother’s Date Of Birth,VRCPL,Patient-mother-vr,Patient-mother-vr,birthDate,,,,
1-012,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8c. Mother’s Name Prior To First Marriage,VRCPL,Patient-mother-vr,Patient-mother-vr,name:namePriorToFirstMarriage,,,,
